polid,politician,firstvote,dateofdeath,w_deflated,dod_father,source_father,pod_father,dod_mother,source_mother,pod_mother,wealth_father,wealth_mother,wealth_misc,misc1,misc2
00624,van Idsinga,1911-03-10,1921-02-22,"43601,0346",1896-11-16,https://www.genealogieonline.nl/stamboom-de-leede/I46149.php,Den Haag,1866,https://www.genealogieonline.nl/stamboom-de-leede/I46150.php,Den Haag?,169512.84,,,,
00625,Idzerda,1878-05-24,1881-12-06,NA,1855-04-12,https://www.openarch.nl/frl:3280f222-6886-361a-831e-373b815b5de1,Sloten,1822-09-19,https://www.geni.com/people/Jeltje-Dijkstra/6000000036668059956,Wergea,,,,,
00628,Insinger,1878-05-24,1911-02-20,NA,,,,,,,,,,,
00634,Jannink,1911-03-10,1942-04-05,"77871,0979",1867-03-24,https://www.geni.com/people/Benjamin-Jannink/6000000029938147229,Enschede,1881-12-09,https://www.geni.com/people/Jeannette-Antonia-Reerink/6000000008952144495,Lochem,,127368.77,,,
00635,Jansen,1911-03-10,1925-03-24,"136719,6859",1882-03-29,https://www.geni.com/people/Johannes-Coenraad-Jansen/6000000031250995037,Den Haag,1860-02-07,https://www.openarch.nl/rzh:c478a813-5a08-4c87-87c8-4096e63d03b5/en,Den Haag,3491.84,,,https://www.openarch.nl/search.php?top&name=Joannes+Cornelius+Adrianus+Jansen&number_show=10&sort=4&start=20,
00638,Janssen,1914-06-03,1952-08-25,NA,1887-11-06,google for: Frans Isidoor Janssen,Bingelrade,,,,,,,,
00650,de Jong,1878-05-24,1886-12-14,"80597,0709",1835-12-26,https://www.genealogieonline.nl/stamboom-kooiman-bruijn-mantel/I8489.php,Hoogkarspel,1852-05-19,https://www.genealogieonline.nl/stamboom-kooiman-bruijn-mantel/I8490.php,Hoogkarspel,,,,,
00655,de Jong,1914-06-03,1918-12-14,"2853,1385",1907,https://www.genealogieonline.nl/en/het-eiland-schiermonnikoog/I7316.php,Middelharnis,1907-05-08,https://www.geni.com/people/Luisa-Elisabeth-Lauer/6000000037421881723,Middelharnis,,,,,
00656,de Jonge,1878-05-24,1887-07-12,NA,,,,,,,,,,,
00662,de Jongh,1911-03-10,1917-01-31,"70527,2483",1847,https://nl.wikipedia.org/wiki/Gerrit_de_Jongh,,1871,https://nl.wikipedia.org/wiki/Gerrit_de_Jongh,,,,,,
00665,Juten,1914-06-03,1929-04-11,"45692,4776",1897-12-26,https://gw.geneanet.org/assel209?lang=en&pz=joannes&nz=asselberghs&p=franciscus+gomarus&n=juten,Bergen op Zoom,1909-05-03,https://gw.geneanet.org/assel209?lang=en&pz=joannes&nz=asselberghs&p=elisabeth+johanna&n=vergroesen,Bergen op Zoom,14697.36,,,,
00666,van der Kaay,1878-05-24,1918-07-29,"4204,7741",1868-04-19,https://www.openarch.nl/nha:a5d6c02c-f1fc-4549-a3d1-6f8ae6cc7874,Alkmaar,1847-08-03,https://www.openarch.nl/search.php?name=Jannetje+Dorreman&number_show=10&sort=4,Alkmaar,,,,,
00671,de Kanter,1893-06-23,1906-07-14,"18801,0429",1868-06-05,https://gw.geneanet.org/kantnic?lang=en&p=hubert+philippus&n=de+kanter,Brielle,1876-02-17,https://gw.geneanet.org/kantnic?lang=en&p=johanna+alida&n=van+andel,Brielle,,,,,
00672,de Kanter,1911-03-10,1953-05-16,NA,,,,,,,,,,,
00676,van Karnebeek,1893-06-23,1925-10-09,"455776,6191",1874-09-25,https://www.genealogieonline.nl/stamboom-de-leede/I63956.php,Den Haag,1888-07-10,https://www.genealogieonline.nl/genealogie-richard-remme/I324970.php,Den Haag,,701699.13,,,
00682,Kerdijk,1893-06-23,1905-03-14,NA,,,,,,,,,,,
00684,van Kerkwijk,1878-05-24,1901-05-21,"322864,8269",1853-12-05,https://nl.wikipedia.org/wiki/Abraham_Willem_van_Kerkwijk,Ouddorp,1882-02-25,https://www.genealogieonline.nl/genealogie-de-vos-verschuur/I101092.php,Ouddorp,,53898.67,,,
